epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7275236248970032,0.9477717280387878,0.001,0.9308642148971558,0.1993638575077057
1,0.9588961601257324,0.13046827912330627,0.001,0.9637860059738159,0.10414822399616241
2,0.9831517934799194,0.05449461564421654,0.001,0.9679012298583984,0.10144063085317612
3,0.9904139637947083,0.03144451230764389,0.001,0.9777777791023254,0.08388346433639526
4,0.9921568632125854,0.0261330958455801,0.001,0.962139904499054,0.13193808495998383
5,0.9941902756690979,0.01848735101521015,0.001,0.9851852059364319,0.05267801135778427
6,0.9921568632125854,0.02192061021924019,0.001,0.9670782089233398,0.10727225244045258
7,0.9873638153076172,0.04811188206076622,0.001,0.9843621253967285,0.0405726358294487
8,0.9940450191497803,0.019724691286683083,0.001,0.9868312478065491,0.04582849144935608
9,0.9992737770080566,0.0028254459612071514,0.001,0.9893004298210144,0.0491410531103611
10,0.9994190335273743,0.001393542275764048,0.001,0.9835391044616699,0.07293786853551865
11,0.9979665875434875,0.00718909315764904,0.001,0.978600800037384,0.07220359891653061
12,0.9949164986610413,0.019197387620806694,0.001,0.972016453742981,0.08854226022958755
